"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"213",Jun 2015,"THAILAND",600,2711,30,0,2015,6,0
"214",Jun 2015,"VIETNAM",9334326,27971921,13,0,2015,6,0
"215",Jul 2015,"BANGLADESH",2322,18033,13,0,2015,7,0
"216",Jul 2015,"CHINA",17690,128700,196,0,2015,7,0
"217",Jul 2015,"GUYANA",257,2436,7,0,2015,7,0
"218",Jul 2015,"PAKISTAN",10773,25184,39,0,2015,7,0
"219",Jul 2015,"VIETNAM",9080767,26386788,14,0,2015,7,0
"220",Aug 2015,"CHINA",86673,599700,170,0,2015,8,0
"221",Aug 2015,"ICELAND",1341,7406,NA,0,2015,8,0
"222",Aug 2015,"VIETNAM",7829814,22062367,23,0,2015,8,0
"223",Sep 2015,"BRAZIL",20037,83755,33,0,2015,9,0
"224",Sep 2015,"BURMA",3724,28667,NA,0,2015,9,0
"225",Sep 2015,"CHINA",107654,667830,210,0,2015,9,0
"226",Sep 2015,"GUYANA",746,6621,25,0,2015,9,0
"227",Sep 2015,"TAIWAN",1905,7759,29,0,2015,9,0
"228",Sep 2015,"VIETNAM",8130403,22229328,11,0,2015,9,0
"229",Oct 2015,"BRAZIL",13066,54621,40,0,2015,10,0
"230",Oct 2015,"CHINA",120240,744967,174,0,2015,10,0
"231",Oct 2015,"GUYANA",553,4646,19,0,2015,10,0
"232",Oct 2015,"VIETNAM",8795185,23535706,8,0,2015,10,0
"233",Nov 2015,"CHINA",307195,2083348,178,0,2015,11,0
"234",Nov 2015,"VIETNAM",10133108,26794582,22,0,2015,11,0
"235",Dec 2015,"CHINA",861063,6305265,242,0,2015,12,0
"236",Dec 2015,"GUYANA",1917,19975,52,0,2015,12,0
"237",Dec 2015,"INDIA",547,3614,153,0,2015,12,0
"238",Dec 2015,"VIETNAM",9846156,25859761,24,0,2015,12,0
"239",Jan 2016,"BURMA",3503,27044,NA,0,2016,1,0
"240",Jan 2016,"CHINA",1346610,9923601,305,0,2016,1,0
"241",Jan 2016,"GUYANA",1117,9379,41,0,2016,1,0
"242",Jan 2016,"PANAMA",521,2298,4,0,2016,1,0
"243",Jan 2016,"VIETNAM",10877390,29010569,8,0,2016,1,0
"244",Feb 2016,"CHINA",1270669,9048881,204,0,2016,2,0
"245",Feb 2016,"GUYANA",730,5827,3,0,2016,2,0
"246",Feb 2016,"THAILAND",1707,11272,13,0,2016,2,0
"247",Feb 2016,"VIETNAM",12346036,33266588,20,0,2016,2,0
"248",Mar 2016,"BRAZIL",560,4432,110,1,2016,3,560
"249",Mar 2016,"GUYANA",472,4164,7,1,2016,3,472
"250",Mar 2016,"ICELAND",1269,5598,NA,1,2016,3,1269
"251",Mar 2016,"SPAIN",480,2512,29,1,2016,3,480
"252",Mar 2016,"VIETNAM",8827334,23992933,59,1,2016,3,8827334
"253",Apr 2016,"BURMA",4626,34131,NA,1,2016,4,4626
"254",Apr 2016,"CHINA",17238,123068,267,1,2016,4,17238
"255",Apr 2016,"GUYANA",2621,20616,11,1,2016,4,2621
"256",Apr 2016,"THAILAND",11552,46930,21,1,2016,4,11552
"257",Apr 2016,"VIETNAM",9026801,24964013,54,1,2016,4,9026801
"258",May 2016,"CHINA",70627,482347,270,1,2016,5,70627
"259",May 2016,"VIETNAM",10626340,30365305,30,1,2016,5,10626340
"260",Jun 2016,"CHINA",75183,523875,268,1,2016,6,75183
"261",Jun 2016,"GUYANA",1610,11957,3,1,2016,6,1610
"262",Jun 2016,"THAILAND",1000,4648,43,1,2016,6,1000
"263",Jun 2016,"VIETNAM",12609705,39832948,20,1,2016,6,12609705
"264",Jul 2016,"CHINA",105242,682005,210,1,2016,7,105242
"265",Jul 2016,"GUYANA",9581,67733,4,1,2016,7,9581
"266",Jul 2016,"THAILAND",18888,58901,18,1,2016,7,18888
"267",Jul 2016,"VIETNAM",10699233,34460233,25,1,2016,7,10699233
"268",Aug 2016,"BANGLADESH",1448,3736,9,1,2016,8,1448
"269",Aug 2016,"CHINA",70863,505125,213,1,2016,8,70863
"270",Aug 2016,"GUYANA",1027,8489,3,1,2016,8,1027
"271",Aug 2016,"THAILAND",16455,73124,84,1,2016,8,16455
"272",Aug 2016,"VIETNAM",9928920,27461660,21,1,2016,8,9928920
"273",Sep 2016,"CHINA",217953,1511756,154,1,2016,9,217953
"274",Sep 2016,"GUYANA",966,7125,14,1,2016,9,966
"275",Sep 2016,"VIETNAM",12441538,32319422,12,1,2016,9,12441538
"276",Oct 2016,"BURMA",6553,49778,NA,1,2016,10,6553
"277",Oct 2016,"CHINA",419018,2965885,117,1,2016,10,419018
"278",Oct 2016,"GUYANA",347,2869,NA,1,2016,10,347
"279",Oct 2016,"THAILAND",1160,4042,33,1,2016,10,1160
"280",Oct 2016,"VIETNAM",12199869,32303990,32,1,2016,10,12199869
"281",Nov 2016,"CHINA",780116,5384379,152,1,2016,11,780116
"282",Nov 2016,"GUYANA",1012,7289,4,1,2016,11,1012
"283",Nov 2016,"SPAIN",720,9608,102,1,2016,11,720
